textos,tokens,tokens_sin_innecesarios,lematizados,lematizados_str,pred_KNN,pred_RedNeuronal,pred_SVM,pred_SVM_ODS,pred_KNN_ODS,pred_RedNeuronal_ODS
el rector que es el representante local del ministerio de educación tiene la responsabilidad principal de procesar la evaluación a pesar de esta centralización el sistema francés se basa en gran medida en el principio de participación y por lo tanto los docentes están involucrados en todos los procesos inca france 2008 aunque existían diferencias entre los procedimientos de evaluación en los länder alemanes la única herramienta de verificación era la recopilación de algunos documentos de muestra para la verificación central a estas alturas sin embargo la mayoría de los länder han introducido exámenes centrales hasta cierto punto,"['el', 'rector', 'que', 'es', 'el', 'representante', 'local', 'del', 'ministerio', 'de', 'educación', 'tiene', 'la', 'responsabilidad', 'principal', 'de', 'procesar', 'la', 'evaluación', 'a', 'pesar', 'de', 'esta', 'centralización', 'el', 'sistema', 'francés', 'se', 'basa', 'en', 'gran', 'medida', 'en', 'el', 'principio', 'de', 'participación', 'y', 'por', 'lo', 'tanto', 'los', 'docentes', 'están', 'involucrados', 'en', 'todos', 'los', 'procesos', 'inca', 'france', '2008', 'aunque', 'existían', 'diferencias', 'entre', 'los', 'procedimientos', 'de', 'evaluación', 'en', 'los', 'länder', 'alemanes', 'la', 'única', 'herramienta', 'de', 'verificación', 'era', 'la', 'recopilación', 'de', 'algunos', 'documentos', 'de', 'muestra', 'para', 'la', 'verificación', 'central', 'a', 'estas', 'alturas', 'sin', 'embargo', 'la', 'mayoría', 'de', 'los', 'länder', 'han', 'introducido', 'exámenes', 'centrales', 'hasta', 'cierto', 'punto']","['rector', 'representante', 'local', 'ministerio', 'educación', 'responsabilidad', 'principal', 'procesar', 'evaluación', 'centralización', 'sistema', 'francés', 'basa', 'medida', 'principio', 'participación', 'docentes', 'involucrados', 'procesos', 'inca', 'france', '2008', 'existían', 'diferencias', 'procedimientos', 'evaluación', 'länder', 'alemanes', 'única', 'herramienta', 'verificación', 'recopilación', 'documentos', 'muestra', 'verificación', 'central', 'alturas', 'mayoría', 'länder', 'introducido', 'exámenes', 'centrales', 'punto']","['rector', 'representante', 'local', 'ministerio', 'educación', 'responsabilidad', 'principal', 'procesar', 'evaluación', 'centralización', 'sistema', 'francés', 'basar', 'medida', 'principio', 'participación', 'docente', 'involucrado', 'proceso', 'inco', 'france', '2008', 'existir', 'diferencia', 'procedimiento', 'evaluación', 'länder', 'alemán', 'único', 'herramiento', 'verificación', 'recopilación', 'documento', 'mostrar', 'verificación', 'central', 'alturos', 'mayoría', 'länder', 'introducido', 'examen', 'central', 'punto']",rector representante local ministerio educación responsabilidad principal procesar evaluación centralización sistema francés basar medida principio participación docente involucrado proceso inco france 2008 existir diferencia procedimiento evaluación länder alemán único herramiento verificación recopilación documento mostrar verificación central alturos mayoría länder introducido examen central punto,4,4,4,ODS 4,ODS 4,ODS 4
tenga en cuenta que todos los programas antipobreza tienen condiciones incluso aquellos caracterizados como incondicionales nuestro enfoque está en las condiciones de comportamiento vinculadas a los programas antipobreza las condiciones más utilizadas son aquellas que incentivan la creación de activos físicos generalmente a nivel comunitario o la acumulación de capital humano en términos de educación o salud,"['tenga', 'en', 'cuenta', 'que', 'todos', 'los', 'programas', 'antipobreza', 'tienen', 'condiciones', 'incluso', 'aquellos', 'caracterizados', 'como', 'incondicionales', 'nuestro', 'enfoque', 'está', 'en', 'las', 'condiciones', 'de', 'comportamiento', 'vinculadas', 'a', 'los', 'programas', 'antipobreza', 'las', 'condiciones', 'más', 'utilizadas', 'son', 'aquellas', 'que', 'incentivan', 'la', 'creación', 'de', 'activos', 'físicos', 'generalmente', 'a', 'nivel', 'comunitario', 'o', 'la', 'acumulación', 'de', 'capital', 'humano', 'en', 'términos', 'de', 'educación', 'o', 'salud']","['programas', 'antipobreza', 'condiciones', 'caracterizados', 'incondicionales', 'enfoque', 'condiciones', 'comportamiento', 'vinculadas', 'programas', 'antipobreza', 'condiciones', 'utilizadas', 'incentivan', 'creación', 'activos', 'físicos', 'generalmente', 'nivel', 'comunitario', 'acumulación', 'capital', 'humano', 'términos', 'educación', 'salud']","['programa', 'antipobrezar', 'condición', 'caracterizado', 'incondicional', 'enfocar', 'condición', 'comportamiento', 'vinculado', 'programa', 'antipobrezar', 'condición', 'utilizado', 'incentivar', 'creación', 'activo', 'físico', 'generalmente', 'nivel', 'comunitario', 'acumulación', 'capital', 'humano', 'término', 'educación', 'salud']",programa antipobrezar condición caracterizado incondicional enfocar condición comportamiento vinculado programa antipobrezar condición utilizado incentivar creación activo físico generalmente nivel comunitario acumulación capital humano término educación salud,1,3,3,ODS 3,ODS 1,ODS 3
debido a que son en gran medida invisibles estas formas de trabajo infantil son las más difíciles de abordar las trabajadoras del hogar en su mayoría niñas se encuentran aisladas y sujetas a los caprichos y la disciplina arbitraria de sus empleadores de quienes pueden sufrir abusos el abuso sexual es frecuente pero rara vez procesado la violencia o el abuso en el hogar o en el vecindario ahuyenta a muchos como lo han demostrado estudios en ciudades tan diversas como dhaka bangladesh y moscú federación rusa67 la pobreza también juega un papel,"['debido', 'a', 'que', 'son', 'en', 'gran', 'medida', 'invisibles', 'estas', 'formas', 'de', 'trabajo', 'infantil', 'son', 'las', 'más', 'difíciles', 'de', 'abordar', 'las', 'trabajadoras', 'del', 'hogar', 'en', 'su', 'mayoría', 'niñas', 'se', 'encuentran', 'aisladas', 'y', 'sujetas', 'a', 'los', 'caprichos', 'y', 'la', 'disciplina', 'arbitraria', 'de', 'sus', 'empleadores', 'de', 'quienes', 'pueden', 'sufrir', 'abusos', 'el', 'abuso', 'sexual', 'es', 'frecuente', 'pero', 'rara', 'vez', 'procesado', 'la', 'violencia', 'o', 'el', 'abuso', 'en', 'el', 'hogar', 'o', 'en', 'el', 'vecindario', 'ahuyenta', 'a', 'muchos', 'como', 'lo', 'han', 'demostrado', 'estudios', 'en', 'ciudades', 'tan', 'diversas', 'como', 'dhaka', 'bangladesh', 'y', 'moscú', 'federación', 'rusa67', 'la', 'pobreza', 'también', 'juega', 'un', 'papel']","['medida', 'invisibles', 'formas', 'trabajo', 'infantil', 'difíciles', 'abordar', 'trabajadoras', 'hogar', 'mayoría', 'niñas', 'encuentran', 'aisladas', 'sujetas', 'caprichos', 'disciplina', 'arbitraria', 'empleadores', 'sufrir', 'abusos', 'abuso', 'sexual', 'frecuente', 'rara', 'procesado', 'violencia', 'abuso', 'hogar', 'vecindario', 'ahuyenta', 'demostrado', 'estudios', 'ciudades', 'diversas', 'dhaka', 'bangladesh', 'moscú', 'federación', 'rusa67', 'pobreza', 'juega', 'papel']","['medida', 'invisible', 'forma', 'trabajo', 'infantil', 'difícil', 'abordar', 'trabajador', 'hogar', 'mayoría', 'niña', 'encontrar', 'aislado', 'sujeto', 'capricho', 'disciplina', 'arbitrario', 'empleador', 'sufrir', 'abuso', 'abuso', 'sexual', 'frecuente', 'raro', 'procesado', 'violencia', 'abuso', 'hogar', 'vecindario', 'ahuyentar', 'demostrado', 'estudio', 'ciudad', 'diverso', 'dhaka', 'bangladesh', 'moscú', 'federación', 'rusa67', 'pobreza', 'jugar', 'papel']",medida invisible forma trabajo infantil difícil abordar trabajador hogar mayoría niña encontrar aislado sujeto capricho disciplina arbitrario empleador sufrir abuso abuso sexual frecuente raro procesado violencia abuso hogar vecindario ahuyentar demostrado estudio ciudad diverso dhaka bangladesh moscú federación rusa67 pobreza jugar papel,1,1,1,ODS 1,ODS 1,ODS 1
los recursos aún son limitados en este sector los servicios privados con fines de lucro y comunitarios religiosos y seculares son los principales proveedores directos de jardines de infancia y grupos de juego a pesar del crecimiento significativo en este sector todavía hay una serie de desafíos para la provisión de un servicio más universal y consistente para los niños en edad preescolar,"['los', 'recursos', 'aún', 'son', 'limitados', 'en', 'este', 'sector', 'los', 'servicios', 'privados', 'con', 'fines', 'de', 'lucro', 'y', 'comunitarios', 'religiosos', 'y', 'seculares', 'son', 'los', 'principales', 'proveedores', 'directos', 'de', 'jardines', 'de', 'infancia', 'y', 'grupos', 'de', 'juego', 'a', 'pesar', 'del', 'crecimiento', 'significativo', 'en', 'este', 'sector', 'todavía', 'hay', 'una', 'serie', 'de', 'desafíos', 'para', 'la', 'provisión', 'de', 'un', 'servicio', 'más', 'universal', 'y', 'consistente', 'para', 'los', 'niños', 'en', 'edad', 'preescolar']","['recursos', 'limitados', 'sector', 'servicios', 'privados', 'fines', 'lucro', 'comunitarios', 'religiosos', 'seculares', 'principales', 'proveedores', 'directos', 'jardines', 'infancia', 'grupos', 'juego', 'crecimiento', 'significativo', 'sector', 'serie', 'desafíos', 'provisión', 'servicio', 'universal', 'consistente', 'niños', 'edad', 'preescolar']","['recurso', 'limitado', 'sector', 'servicio', 'privado', 'fin', 'lucro', 'comunitario', 'religioso', 'secular', 'principal', 'proveedor', 'directo', 'jardín', 'infancia', 'grupo', 'juego', 'crecimiento', 'significativo', 'sector', 'serie', 'desafío', 'provisión', 'servicio', 'universal', 'consistente', 'niño', 'edad', 'preescolar']",recurso limitado sector servicio privado fin lucro comunitario religioso secular principal proveedor directo jardín infancia grupo juego crecimiento significativo sector serie desafío provisión servicio universal consistente niño edad preescolar,3,4,4,ODS 4,ODS 3,ODS 4
durante el período 1985-2008 la educación primaria secundaria y terciaria experimentó un aumento sin precedentes en la matrícula la educación superior mostró el mayor crecimiento con un 931 lo que representa un aumento anual del 41 la mejora del acceso se refleja en el porcentaje de matriculación en educación superior en la cohorte de edad de 19 a 24 años que creció del 06 en 1970 al 244 en 2007,"['durante', 'el', 'período', '1985-2008', 'la', 'educación', 'primaria', 'secundaria', 'y', 'terciaria', 'experimentó', 'un', 'aumento', 'sin', 'precedentes', 'en', 'la', 'matrícula', 'la', 'educación', 'superior', 'mostró', 'el', 'mayor', 'crecimiento', 'con', 'un', '931', 'lo', 'que', 'representa', 'un', 'aumento', 'anual', 'del', '41', 'la', 'mejora', 'del', 'acceso', 'se', 'refleja', 'en', 'el', 'porcentaje', 'de', 'matriculación', 'en', 'educación', 'superior', 'en', 'la', 'cohorte', 'de', 'edad', 'de', '19', 'a', '24', 'años', 'que', 'creció', 'del', '06', 'en', '1970', 'al', '244', 'en', '2007']","['período', '1985-2008', 'educación', 'primaria', 'secundaria', 'terciaria', 'experimentó', 'aumento', 'precedentes', 'matrícula', 'educación', 'superior', 'mostró', 'crecimiento', '931', 'representa', 'aumento', 'anual', '41', 'mejora', 'acceso', 'refleja', 'porcentaje', 'matriculación', 'educación', 'superior', 'cohorte', 'edad', '19', '24', 'años', 'creció', '06', '1970', '244', '2007']","['período', '1985-2008', 'educación', 'primario', 'secundario', 'terciario', 'experimentar', 'aumento', 'precedente', 'matrícula', 'educación', 'superior', 'mostrar', 'crecimiento', '931', 'representar', 'aumento', 'anual', '41', 'mejorar', 'acceso', 'reflejar', 'porcentaje', 'matriculación', 'educación', 'superior', 'cohorte', 'edad', '19', '24', 'año', 'crecer', '06', '1970', '244', '2007']",período 1985-2008 educación primario secundario terciario experimentar aumento precedente matrícula educación superior mostrar crecimiento 931 representar aumento anual 41 mejorar acceso reflejar porcentaje matriculación educación superior cohorte edad 19 24 año crecer 06 1970 244 2007,4,4,4,ODS 4,ODS 4,ODS 4
en la región de asia y el pacífico casi el 87 de los niños de 1 año o menos están inmunizados contra el sarampión sin embargo este agregado enmascara las diferencias entre subregiones asia oriental y nororiental 987 y asia septentrional y central 967 tienen una tasa de inmunización cercana al 100 asia meridional y sudoccidental tiene la tasa más baja 785 seguida del pacífico 817,"['en', 'la', 'región', 'de', 'asia', 'y', 'el', 'pacífico', 'casi', 'el', '87', 'de', 'los', 'niños', 'de', '1', 'año', 'o', 'menos', 'están', 'inmunizados', 'contra', 'el', 'sarampión', 'sin', 'embargo', 'este', 'agregado', 'enmascara', 'las', 'diferencias', 'entre', 'subregiones', 'asia', 'oriental', 'y', 'nororiental', '987', 'y', 'asia', 'septentrional', 'y', 'central', '967', 'tienen', 'una', 'tasa', 'de', 'inmunización', 'cercana', 'al', '100', 'asia', 'meridional', 'y', 'sudoccidental', 'tiene', 'la', 'tasa', 'más', 'baja', '785', 'seguida', 'del', 'pacífico', '817']","['región', 'asia', 'pacífico', '87', 'niños', '1', 'año', 'inmunizados', 'sarampión', 'agregado', 'enmascara', 'diferencias', 'subregiones', 'asia', 'oriental', 'nororiental', '987', 'asia', 'septentrional', 'central', '967', 'tasa', 'inmunización', 'cercana', '100', 'asia', 'meridional', 'sudoccidental', 'tasa', 'baja', '785', 'seguida', 'pacífico', '817']","['región', 'asia', 'pacífico', '87', 'niño', '1', 'año', 'inmunizado', 'sarampión', 'agregado', 'enmascarar', 'diferencia', 'subregión', 'asia', 'oriental', 'nororiental', '987', 'asia', 'septentrional', 'central', '967', 'tasa', 'inmunización', 'cercano', '100', 'asia', 'meridional', 'sudoccidental', 'tasa', 'bajo', '785', 'seguido', 'pacífico', '817']",región asia pacífico 87 niño 1 año inmunizado sarampión agregado enmascarar diferencia subregión asia oriental nororiental 987 asia septentrional central 967 tasa inmunización cercano 100 asia meridional sudoccidental tasa bajo 785 seguido pacífico 817,1,1,4,ODS 4,ODS 1,ODS 1
esta combinación representa una oportunidad para que tanto los alumnos indígenas como los no indígenas se familiaricen con las tradiciones indígenas y al mismo tiempo fomenta un proceso de aprendizaje mutuo entre los profesores aunque incipiente también existe un esfuerzo por aumentar el nivel de concienciación sobre la interculturalidad entre la población en general si bien el programa peib existe desde 1996 no fue sino hasta 2009 que el gobierno chileno estableció explícitamente el principio de interculturalidad y protección de la lengua y cultura indígena a través de la ley general de educación e incorporó la lengua indígena al currículo,"['esta', 'combinación', 'representa', 'una', 'oportunidad', 'para', 'que', 'tanto', 'los', 'alumnos', 'indígenas', 'como', 'los', 'no', 'indígenas', 'se', 'familiaricen', 'con', 'las', 'tradiciones', 'indígenas', 'y', 'al', 'mismo', 'tiempo', 'fomenta', 'un', 'proceso', 'de', 'aprendizaje', 'mutuo', 'entre', 'los', 'profesores', 'aunque', 'incipiente', 'también', 'existe', 'un', 'esfuerzo', 'por', 'aumentar', 'el', 'nivel', 'de', 'concienciación', 'sobre', 'la', 'interculturalidad', 'entre', 'la', 'población', 'en', 'general', 'si', 'bien', 'el', 'programa', 'peib', 'existe', 'desde', '1996', 'no', 'fue', 'sino', 'hasta', '2009', 'que', 'el', 'gobierno', 'chileno', 'estableció', 'explícitamente', 'el', 'principio', 'de', 'interculturalidad', 'y', 'protección', 'de', 'la', 'lengua', 'y', 'cultura', 'indígena', 'a', 'través', 'de', 'la', 'ley', 'general', 'de', 'educación', 'e', 'incorporó', 'la', 'lengua', 'indígena', 'al', 'currículo']","['combinación', 'representa', 'oportunidad', 'alumnos', 'indígenas', 'indígenas', 'familiaricen', 'tradiciones', 'indígenas', 'tiempo', 'fomenta', 'proceso', 'aprendizaje', 'mutuo', 'profesores', 'incipiente', 'esfuerzo', 'aumentar', 'nivel', 'concienciación', 'interculturalidad', 'población', 'general', 'programa', 'peib', '1996', '2009', 'gobierno', 'chileno', 'estableció', 'explícitamente', 'principio', 'interculturalidad', 'protección', 'lengua', 'cultura', 'indígena', 'ley', 'general', 'educación', 'incorporó', 'lengua', 'indígena', 'currículo']","['combinación', 'representar', 'oportunidad', 'alumno', 'indígena', 'indígena', 'familiaricir', 'tradición', 'indígena', 'tiempo', 'fomentar', 'proceso', 'aprendizaje', 'mutuo', 'profesor', 'incipiente', 'esfuerzo', 'aumentar', 'nivel', 'concienciación', 'interculturalidad', 'población', 'general', 'programa', 'peib', '1996', '2009', 'gobierno', 'chileno', 'establecer', 'explícitamente', 'principio', 'interculturalidad', 'protección', 'lenguo', 'cultura', 'indígén', 'ley', 'general', 'educación', 'incorporar', 'lengua', 'indígén', 'currículo']",combinación representar oportunidad alumno indígena indígena familiaricir tradición indígena tiempo fomentar proceso aprendizaje mutuo profesor incipiente esfuerzo aumentar nivel concienciación interculturalidad población general programa peib 1996 2009 gobierno chileno establecer explícitamente principio interculturalidad protección lenguo cultura indígén ley general educación incorporar lengua indígén currículo,4,4,4,ODS 4,ODS 4,ODS 4
además muchos llevan a cabo prácticas de seguimiento de la calidad del servicio con el objetivo de informar al público sobre el nivel de calidad proporcionado 19 lo que brinda más transparencia a los usuarios de la eapi además es común monitorear la calidad del servicio para mejorar el desarrollo de los niños 16 y mejorar el desempeño del personal 16 fuente tabla 31 red de la ocde sobre eapi encuesta en línea sobre el seguimiento de la calidad en el aprendizaje y el desarrollo tempranos noviembre de 2013,"['además', 'muchos', 'llevan', 'a', 'cabo', 'prácticas', 'de', 'seguimiento', 'de', 'la', 'calidad', 'del', 'servicio', 'con', 'el', 'objetivo', 'de', 'informar', 'al', 'público', 'sobre', 'el', 'nivel', 'de', 'calidad', 'proporcionado', '19', 'lo', 'que', 'brinda', 'más', 'transparencia', 'a', 'los', 'usuarios', 'de', 'la', 'eapi', 'además', 'es', 'común', 'monitorear', 'la', 'calidad', 'del', 'servicio', 'para', 'mejorar', 'el', 'desarrollo', 'de', 'los', 'niños', '16', 'y', 'mejorar', 'el', 'desempeño', 'del', 'personal', '16', 'fuente', 'tabla', '31', 'red', 'de', 'la', 'ocde', 'sobre', 'eapi', 'encuesta', 'en', 'línea', 'sobre', 'el', 'seguimiento', 'de', 'la', 'calidad', 'en', 'el', 'aprendizaje', 'y', 'el', 'desarrollo', 'tempranos', 'noviembre', 'de', '2013']","['llevan', 'cabo', 'prácticas', 'seguimiento', 'calidad', 'servicio', 'objetivo', 'informar', 'público', 'nivel', 'calidad', 'proporcionado', '19', 'brinda', 'transparencia', 'usuarios', 'eapi', 'común', 'monitorear', 'calidad', 'servicio', 'mejorar', 'desarrollo', 'niños', '16', 'mejorar', 'desempeño', 'personal', '16', 'fuente', 'tabla', '31', 'red', 'ocde', 'eapi', 'encuesta', 'línea', 'seguimiento', 'calidad', 'aprendizaje', 'desarrollo', 'tempranos', 'noviembre', '2013']","['llevar', 'cabo', 'práctica', 'seguimiento', 'calidad', 'servicio', 'objetivo', 'informar', 'público', 'nivel', 'calidad', 'proporcionado', '19', 'brindo', 'transparencia', 'usuario', 'eapi', 'común', 'monitorear', 'calidad', 'servicio', 'mejorar', 'desarrollo', 'niños', '16', 'mejorar', 'desempeño', 'personal', '16', 'fuente', 'tabla', '31', 'red', 'ocde', 'eapi', 'encuesta', 'líneo', 'seguimiento', 'calidad', 'aprendizaje', 'desarrollo', 'temprano', 'noviembre', '2013']",llevar cabo práctica seguimiento calidad servicio objetivo informar público nivel calidad proporcionado 19 brindo transparencia usuario eapi común monitorear calidad servicio mejorar desarrollo niños 16 mejorar desempeño personal 16 fuente tabla 31 red ocde eapi encuesta líneo seguimiento calidad aprendizaje desarrollo temprano noviembre 2013,4,4,4,ODS 4,ODS 4,ODS 4
el alcance de esta visión holística se basa en los avances logrados durante el período de los odm durante el cual las tasas netas de matriculación en la educación primaria aumentaron del 83 al 91 por ciento en las regiones en desarrollo del mundo naciones unidas 2015 como lo refuerza la declaración de incheon del foro mundial de educación 2015 foro mundial de educación 2015 la educación y el aprendizaje a lo largo de toda la vida se reconocen a través del ods 4 como derechos humanos fundamentales y vitales para hacer realidad las aspiraciones más amplias de la agenda 2030 para el desarrollo sostenible finalmente muchas iniciativas basadas en el deporte también se han orientado hacia el desarrollo holístico y el empoderamiento de los jóvenes y la difusión de mensajes educativos por lo que son relevantes para las metas 44 y 47 de los ods,"['el', 'alcance', 'de', 'esta', 'visión', 'holística', 'se', 'basa', 'en', 'los', 'avances', 'logrados', 'durante', 'el', 'período', 'de', 'los', 'odm', 'durante', 'el', 'cual', 'las', 'tasas', 'netas', 'de', 'matriculación', 'en', 'la', 'educación', 'primaria', 'aumentaron', 'del', '83', 'al', '91', 'por', 'ciento', 'en', 'las', 'regiones', 'en', 'desarrollo', 'del', 'mundo', 'naciones', 'unidas', '2015', 'como', 'lo', 'refuerza', 'la', 'declaración', 'de', 'incheon', 'del', 'foro', 'mundial', 'de', 'educación', '2015', 'foro', 'mundial', 'de', 'educación', '2015', 'la', 'educación', 'y', 'el', 'aprendizaje', 'a', 'lo', 'largo', 'de', 'toda', 'la', 'vida', 'se', 'reconocen', 'a', 'través', 'del', 'ods', '4', 'como', 'derechos', 'humanos', 'fundamentales', 'y', 'vitales', 'para', 'hacer', 'realidad', 'las', 'aspiraciones', 'más', 'amplias', 'de', 'la', 'agenda', '2030', 'para', 'el', 'desarrollo', 'sostenible', 'finalmente', 'muchas', 'iniciativas', 'basadas', 'en', 'el', 'deporte', 'también', 'se', 'han', 'orientado', 'hacia', 'el', 'desarrollo', 'holístico', 'y', 'el', 'empoderamiento', 'de', 'los', 'jóvenes', 'y', 'la', 'difusión', 'de', 'mensajes', 'educativos', 'por', 'lo', 'que', 'son', 'relevantes', 'para', 'las', 'metas', '44', 'y', '47', 'de', 'los', 'ods']","['alcance', 'visión', 'holística', 'basa', 'avances', 'logrados', 'período', 'odm', 'tasas', 'netas', 'matriculación', 'educación', 'primaria', 'aumentaron', '83', '91', 'ciento', 'regiones', 'desarrollo', 'mundo', 'naciones', 'unidas', '2015', 'refuerza', 'declaración', 'incheon', 'foro', 'mundial', 'educación', '2015', 'foro', 'mundial', 'educación', '2015', 'educación', 'aprendizaje', 'vida', 'reconocen', 'ods', '4', 'derechos', 'humanos', 'fundamentales', 'vitales', 'realidad', 'aspiraciones', 'amplias', 'agenda', '2030', 'desarrollo', 'sostenible', 'finalmente', 'iniciativas', 'basadas', 'deporte', 'orientado', 'desarrollo', 'holístico', 'empoderamiento', 'jóvenes', 'difusión', 'mensajes', 'educativos', 'relevantes', 'metas', '44', '47', 'ods']","['alcance', 'visión', 'holístico', 'basar', 'avance', 'logrado', 'período', 'odm', 'tasa', 'neto', 'matriculación', 'educación', 'primario', 'aumentar', '83', '91', 'ciento', 'región', 'desarrollo', 'mundo', 'naciones', 'unidas', '2015', 'reforzar', 'declaración', 'incheon', 'foro', 'mundial', 'educación', '2015', 'foro', 'mundial', 'educación', '2015', 'educación', 'aprendizaje', 'vida', 'reconocer', 'ods', '4', 'derechos', 'humanos', 'fundamental', 'vital', 'realidad', 'aspiración', 'amplio', 'agenda', '2030', 'desarrollo', 'sostenible', 'finalmente', 'iniciativa', 'basado', 'deporte', 'orientado', 'desarrollo', 'holístico', 'empoderamiento', 'joven', 'difusión', 'mensaje', 'educativo', 'relevante', 'meta', '44', '47', 'od']",alcance visión holístico basar avance logrado período odm tasa neto matriculación educación primario aumentar 83 91 ciento región desarrollo mundo naciones unidas 2015 reforzar declaración incheon foro mundial educación 2015 foro mundial educación 2015 educación aprendizaje vida reconocer ods 4 derechos humanos fundamental vital realidad aspiración amplio agenda 2030 desarrollo sostenible finalmente iniciativa basado deporte orientado desarrollo holístico empoderamiento joven difusión mensaje educativo relevante meta 44 47 od,4,4,4,ODS 4,ODS 4,ODS 4
véase c correa protecting test data for pharmaceutical and agrochemical products under free trade agreements en negotiating health pp sin embargo como ya se ha mencionado se reconoce ampliamente que esta obligación crea barreras insuperables para los productores de genéricos en términos de recursos financieros y de tiempo cuando los datos protegidos se refieren a sustancias no protegidas por patentes un régimen de exclusividad de los datos erige por tanto una nueva e importante barrera de acceso al mercado para los productores de genéricos,"['véase', 'c', 'correa', 'protecting', 'test', 'data', 'for', 'pharmaceutical', 'and', 'agrochemical', 'products', 'under', 'free', 'trade', 'agreements', 'en', 'negotiating', 'health', 'pp', 'sin', 'embargo', 'como', 'ya', 'se', 'ha', 'mencionado', 'se', 'reconoce', 'ampliamente', 'que', 'esta', 'obligación', 'crea', 'barreras', 'insuperables', 'para', 'los', 'productores', 'de', 'genéricos', 'en', 'términos', 'de', 'recursos', 'financieros', 'y', 'de', 'tiempo', 'cuando', 'los', 'datos', 'protegidos', 'se', 'refieren', 'a', 'sustancias', 'no', 'protegidas', 'por', 'patentes', 'un', 'régimen', 'de', 'exclusividad', 'de', 'los', 'datos', 'erige', 'por', 'tanto', 'una', 'nueva', 'e', 'importante', 'barrera', 'de', 'acceso', 'al', 'mercado', 'para', 'los', 'productores', 'de', 'genéricos']","['véase', 'c', 'correa', 'protecting', 'test', 'data', 'for', 'pharmaceutical', 'and', 'agrochemical', 'products', 'under', 'free', 'trade', 'agreements', 'negotiating', 'health', 'pp', 'mencionado', 'reconoce', 'ampliamente', 'obligación', 'crea', 'barreras', 'insuperables', 'productores', 'genéricos', 'términos', 'recursos', 'financieros', 'tiempo', 'datos', 'protegidos', 'refieren', 'sustancias', 'protegidas', 'patentes', 'régimen', 'exclusividad', 'datos', 'erige', 'importante', 'barrera', 'acceso', 'mercado', 'productores', 'genéricos']","['vea él', 'c', 'correa', 'protecting', 'test', 'data', 'for', 'pharmaceutical', 'and', 'agrochemical', 'products', 'under', 'free', 'tradar', 'agreements', 'negotiating', 'health', 'pp', 'mencionado', 'reconocer', 'ampliamente', 'obligación', 'creer', 'barrera', 'insuperabl', 'productor', 'genérico', 'término', 'recurso', 'financiero', 'tiempo', 'dato', 'protegido', 'referir', 'sustancia', 'protegido', 'patente', 'régimen', 'exclusividad', 'dato', 'erigir', 'importante', 'barrera', 'acceso', 'mercado', 'productor', 'genérico']",vea él c correa protecting test data for pharmaceutical and agrochemical products under free tradar agreements negotiating health pp mencionado reconocer ampliamente obligación creer barrera insuperabl productor genérico término recurso financiero tiempo dato protegido referir sustancia protegido patente régimen exclusividad dato erigir importante barrera acceso mercado productor genérico,3,3,3,ODS 3,ODS 3,ODS 3
