texto,y_true,y_pred,score_1,score_3,score_4,score_max
relación estatus étnico consumo alcohol analizar igualdad condición inglaterra zelando eir uu resultado mostrar grupo minoritario generalmente beber alcohol población blanco ee uu hombre mexicoamericano prevalenciar consumo alcohol hombre blanco hispano forma dañino consumo alcohol resultado mostrar inglaterra hombre mujer blanco probabilidad participar consumo peligroso alcohol hed figurar 16 hallazgo país raro estadísticamente significativo,3,3,-0.7429011196449176,0.3753731151576749,-0.6590079159239826,0.3753731151576749
país ocde reducción 10 mortalidad ecv esperanza vida 65 año aumentar 43 disminución mortalidad ecv representar 30 variación país aumento esperanzo vida cambio mortalidad ecv predictor fuerte esperanza vida 65 año hombre mujer,3,3,-0.7570076641998957,0.45328411153772186,-0.7200059974551785,0.45328411153772186
etapa seguimiento ocurrir 1314 año gimnasio 6 año 13 estudiante grupo edad relevante matriculado vía strakovo et estudiante seleccionado vía examen admisión prueba aptitud rendimiento académico alto generalmente optar vía general gimnasio liceo,4,4,-0.8674059769649822,-0.48268854973448255,0.29438243385765384,0.29438243385765384
persona respetable pobre sexo avergonzarir aparecer público libro 5 capítulo 2 1776 entender ingreso familiar ingreso familiar disponible impuesto transferencia público equivalúa economía escala disponible tamaño hogar usar raíz cuadrado tamaño hogar,1,1,0.41128309623125847,-0.6307658408908646,-0.6761625670567164,0.41128309623125847
basar publicación anual indicador educación nivel nacional regional gobierno central región preparar edición anual informir situación desarrollo sistema educativo evaluar avance respectivo objetivo político plazo asimismo referencia internacional rendimiento alumno proporcionar encuesta internacional estudiant pís timss influido hora impulsar desarrollo política nivel sistema,4,4,-0.8180180887694515,-0.7547183737390759,0.5168280753255732,0.5168280753255732
figurar 42 presentar ganancia simulado habilidad 15 año inducida aumento habilidadser 14 año nivel habilidadser 14 año corea mostrar niño comenzar nivel decil habilidad ganar cantidad habilidad período efecto aumentar habilidad social emocional caso sentido responsabilidad lugar control autoestimo niño 14 año habilidad social emocional 15 año aumentar nivel habilidades social emocional 15 año 14 año línea azul panel b,4,4,-0.39674870471762014,-0.4554518176239386,-0.13929442365487243,-0.13929442365487243
escuela educación distancio universiti sains malaysia programa educación distancio nivel terciario malasia faltar estructura mecanismo coordinación nivel regional articular visión plazo implementar estrategia desarrollo integrado institución educativo consecuencia político federal vinculado verticalmente institución educación superior atención limitado relación horizontal institución región,4,4,-0.9908981229490587,-0.8059532060020129,0.7052607396937878,0.7052607396937878
hallazgo clave capacidad cognitiva general estudiant interactuar nivel estructuración proporcionado profesor estudiant obtener puntuación bajo medida capacidad general obtener mejor resultado entorno aprendizaje controlado profesor profesor mantener alto nivel control clás dividir pequeño unidad instrucción directo retroalimentación frecuente contrario ocurrir alumno capacidad general beneficiar llamado entornos aprendizaje descubrimiento centrado alumno concepto enseñanza adaptativo respuesta constatación profesor capacitado tomar decisión momento funcionar alumno medido alumno adquirir aptitud experiencia objetivo pedagógico enseñanza adapto vuelve intrusivo,4,4,-1.1019295523506285,-0.8491937793142929,0.8387317822772051,0.8387317822772051
telón fondo prolongado faltar fuente oficial información fiable producción tráfico indebido droga ilícito país región haber informe medio comunicación anecdótico indebido generalizado comprimido falsificado captagon contener anfetamín parte implicado violencia armado república árabe sirio significativo año estudio opio afganistán 2015 disponer resumen ejecutivo señalar producido disminución superficie estimado cultivo ilícito adormiderar afganistán 2015 ascender 183000 hectárea representar disminución comparación 2014 cultivo alcanzar nivel récord 224000 hectárea,3,3,-0.636629514392812,-0.05822452274359932,-0.33000984776270736,-0.05822452274359932
reforma monetización mejorado notificación gasto social ejemplo véase cuadro 33 obstante experiencia país ocde configuración constitucional federal sugerir probable infradeclaración gasto social nivel inferior gobierno adema ladaique 2009 caso niño discapacitado 15 año 120 natural ejemplo prestación veterano guerra niño discapacitado fondo pensión rusia abonar pensión vejez supervivencia invalidez basado registro empleo persona catalogado discapacitada,1,1,-0.13233252456078998,-0.29970063530107244,-0.48640336097254006,-0.13233252456078998
diferenciar variar significativamente grupo socioeconómico 441 estudiante pie nivel socioeconómico diagnosticado necesidad especial permanente 12 estudiante pie nivel socioeconómico alto diagnosticado dicho necesidad figurar 35 diferencia proveedor escuela escuela municipal probabilidad matricular estudiante discapacidad permanente escuela privado subvencionado,4,4,-0.8894265003543015,-0.569474967330471,0.3946094528381263,0.3946094528381263
actualidad mayoría país ocde utilizar plan estudio servicio infancio especialmente medido niño crecer generalmente aceptar estructuración orientación experiencia niño objetivo educativo actualidad orientación pedagógico niño pequeño desarrollo neurológico lugar año ocde 2006 plan estudio influido factor valor sociedad estándar contenido resultado investigación expectativa comunidad cultura idiomo,4,4,-0.7448978522853065,-0.6610785994823426,0.3459438290913227,0.3459438290913227
argumentar agregación información privación índizar intrínsecamente problemático término ponderación riesgo enmascarar privación dimensión concreto rendimiento dimensión incluido índice mayoría comentario abordar parte metodologir moda análisis privación único análisis solapamiento índice utilizado estudio moda permitir comparar resultado país región grupo población trazar perfil niño familia perteneciente diverso grupo población seguir alkire foster 2011a recuento ajustado descomponer responder pregunta contribución grupo población específico nivel privación,1,1,-0.04990403384384956,-0.46326281703010086,-0.4475363136872794,-0.04990403384384956
